      #Energy        TDOS
     -45.18070       0.00000
     -45.15570       0.00000
     -45.13070       0.00000
     -45.10570       0.00000
     -45.08070       0.00000
     -45.05570       0.00000
     -45.03070       0.00000
     -45.00570       0.00000
     -44.98070       0.00000
     -44.95670       0.00000
     -44.93170       0.00000
     -44.90670       0.00000
     -44.88170       0.00000
     -44.85670       0.00000
     -44.83170       0.00000
     -44.80670       0.00000
     -44.78170       0.00000
     -44.75670       0.00000
     -44.73170       0.00000
     -44.70670       0.00000
     -44.68170       0.00000
     -44.65770       0.00000
     -44.63270       0.00000
     -44.60770       0.00000
     -44.58270       0.00000
     -44.55770       0.00000
     -44.53270       0.00000
     -44.50770       0.00000
     -44.48270       0.00000
     -44.45770       0.00000
     -44.43270       0.00000
     -44.40770       0.00000
     -44.38270       0.00000
     -44.35870       0.00000
     -44.33370       0.00000
     -44.30870       0.00000
     -44.28370       0.00000
     -44.25870       0.00000
     -44.23370       0.00000
     -44.20870       0.00000
     -44.18370       0.00000
     -44.15870       0.00000
     -44.13370       0.00000
     -44.10870       0.00000
     -44.08370       0.00000
     -44.05970       0.00000
     -44.03470       0.00000
     -44.00970       0.00000
     -43.98470       0.00000
     -43.95970       0.00000
     -43.93470       0.00000
     -43.90970       0.00000
     -43.88470       0.00000
     -43.85970       0.00000
     -43.83470       0.00000
     -43.80970       0.00000
     -43.78470       0.00000
     -43.76070       0.00000
     -43.73570       0.00000
     -43.71070       0.00000
     -43.68570       0.00000
     -43.66070       0.00000
     -43.63570       0.00000
     -43.61070       0.00000
     -43.58570       0.00000
     -43.56070       0.00000
     -43.53570       0.00000
     -43.51070       0.00000
     -43.48570       0.00000
     -43.46170       0.00000
     -43.43670       0.00000
     -43.41170       0.00000
     -43.38670       0.00000
     -43.36170       0.00000
     -43.33670       0.00000
     -43.31170       0.00000
     -43.28670       0.00000
     -43.26170       0.00000
     -43.23670       0.00000
     -43.21170       0.00000
     -43.18670       0.00000
     -43.16270       0.00000
     -43.13770       0.00000
     -43.11270       0.00000
     -43.08770       0.00000
     -43.06270       0.00000
     -43.03770       0.00000
     -43.01270       0.00000
     -42.98770       0.00000
     -42.96270       0.00000
     -42.93770       0.00000
     -42.91270       0.00000
     -42.88770       0.00000
     -42.86370       0.00000
     -42.83870       0.00000
     -42.81370       0.00000
     -42.78870       0.00000
     -42.76370       0.00000
     -42.73870       0.00000
     -42.71370       0.00000
     -42.68870       0.00000
